text,category
"I can help with that, let me rephrase it.",Clarification
"I made a mistake, let me rephrase that.",Clarification
Can you rephrase the text to make it easier for me to understand?,Clarification
Can you provide an example of this in action?,Clarification
"I'm not sure what you're asking, can you provide more context?",Clarification
Can you please expand on the concept?,Clarification
"I see what's unclear, would you like me to rephrase it?",Clarification
Could you explain the concept in simpler terms or provide an example?,Clarification
Can you rephrase what's unclear about it?,Clarification
Can you explain what is happening at each step of the process?,Clarification
"I'd be happy to help, but I think you might mean ""Can you make it simpler?"".",Clarification
Please provide an example or illustration to help illustrate the concept.,Clarification
I would be happy to explain further.,Clarification
Let's start again from the beginning. Can you please provide more context or information about what you're trying to accomplish?,Clarification
Can you rephrase or rewrite the question in simpler terms?,Clarification
"Let me try to explain it again, or would you like a simple example to illustrate the concept?",Clarification
"To rephrase, what specific aspects of distributed cognition would you like me to focus on?",Clarification
Could you please rephrase this?,Clarification
Could you give an example of how this concept is used in real life?,Clarification
Can you provide a concrete example to illustrate the concept?,Clarification
"I'm having trouble understanding the topic, can you give a brief summary?",Clarification
Can you rephrase what was said?,Clarification
Can you provide an example of what this looks like in practice?,Clarification
Can you rephrase or clarify the concept of artificial intelligence in everyday life?,Clarification
Can you explain this concept in a different way?,Clarification
Can you rephrase that in simpler terms?,Clarification
Is the definition provided sufficient to answer the question?,Clarification
Can you please explain what is the goal of this exercise?,Clarification
"The text might be referring to a complex idea, can you break it down for me?",Clarification
Can you provide a specific example of what you mean?,Clarification
You're asking me to break it down even further. Please ask.,Clarification
"I'm not sure I follow, could you provide an example?",Clarification
Can you rephrase that question?,Clarification
Is there anything specific in the text that you're having trouble with?,Clarification
Could you define this term for me?,Clarification
Can I get a specific example or illustration to help me understand?,Clarification
Let me rephrase that. Can you provide more context or information?,Clarification
Let me try to explain it in simpler terms.,Clarification
Is there anything else I can help you with?,Clarification
Wouldn't you like me to explain it again in simpler terms?,Clarification
Can you provide an example of what this text is asking for?,Clarification
Could you please rephrase the sentence for better clarity?,Clarification
What seems to be the problem?,Clarification
Can you please rephrase the question or provide more context?,Clarification
"Can you provide a definition or explanation of the term? 
or,
assistant
Can you rephrase that in simpler terms?",Clarification
Is there a specific aspect of the topic that you're struggling with?,Clarification
Could you give an example to help illustrate the concept?,Clarification
Can you provide a specific example to illustrate the concept?,Clarification
